time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/12:23:53.409371,279068,1615893833,408171177,mocap,-2.76492651367,10.4247773437,1.93363830566,0.153930692781,0.205218964368,0.966184310284,0.0260461696593
2021/03/16/12:23:53.420714,279069,1615893833,418171167,mocap,-2.76485351563,10.4247548828,1.93360620117,0.154001034926,0.205040252596,0.966216874745,0.0258290257657
2021/03/16/12:23:53.429658,279070,1615893833,428171158,mocap,-2.76477416992,10.4247216797,1.93359155273,0.153971753591,0.205012389747,0.96622709959,0.0258419011437
2021/03/16/12:23:53.440688,279071,1615893833,438171148,mocap,-2.76473754883,10.4246591797,1.93357775879,0.154063535549,0.20491721924,0.966234995626,0.0257544107926
2021/03/16/12:23:53.449012,279072,1615893833,448171139,mocap,-2.76466943359,10.4246777344,1.93360803223,0.153985745162,0.20484272949,0.966263703031,0.0257353035409
2021/03/16/12:23:53.460494,279073,1615893833,458171129,mocap,-2.76460888672,10.4246748047,1.93358752441,0.154171027875,0.204807675283,0.966245374496,0.0255928774677
2021/03/16/12:23:53.469327,279074,1615893833,468171120,mocap,-2.76455664062,10.4246337891,1.93361328125,0.154112167487,0.204803775887,0.96625511326,0.0256107567206
2021/03/16/12:23:53.480651,279075,1615893833,478171110,mocap,-2.76448852539,10.4245898438,1.93356176758,0.154416699626,0.204794163783,0.966209549187,0.0255723887033
2021/03/16/12:23:53.489208,279076,1615893833,488171101,mocap,-2.76444506836,10.4246298828,1.93358947754,0.154354747369,0.204677855715,0.966242860753,0.0256186381397
2021/03/16/12:23:53.500615,279077,1615893833,498171091,mocap,-2.76438012695,10.4246230469,1.93358410645,0.154333109499,0.204635879523,0.966256578307,0.0255671532532
2021/03/16/12:23:53.508996,279078,1615893833,508171082,mocap,-2.76434594727,10.4245791016,1.93357763672,0.154445320464,0.204750970753,0.96621458455,0.0255550538905
2021/03/16/12:23:53.520761,279079,1615893833,518171072,mocap,-2.76432617188,10.424609375,1.93359643555,0.154583544543,0.204767153478,0.966189746767,0.0255286174153
2021/03/16/12:23:53.529304,279080,1615893833,528171062,mocap,-2.76426611328,10.4246005859,1.93358435059,0.154547190011,0.20473397096,0.966201868857,0.0255559699938
2021/03/16/12:23:53.540607,279081,1615893833,538171053,mocap,-2.76423120117,10.4245996094,1.93359399414,0.154603385058,0.20483395513,0.966172257377,0.0255343888548
2021/03/16/12:23:53.549898,279082,1615893833,548171043,mocap,-2.76419262695,10.4246162109,1.93357202148,0.154626502096,0.20484303704,0.966164993172,0.0255967082901
2021/03/16/12:23:53.559037,279083,1615893833,558171034,mocap,-2.76417016602,10.4245996094,1.93359545898,0.154764401007,0.204882037271,0.966136722402,0.0255178238524
2021/03/16/12:23:53.570440,279084,1615893833,568171024,mocap,-2.7641472168,10.4246386719,1.93359350586,0.154768208897,0.205018925592,0.9661013018,0.0257354955168
2021/03/16/12:23:53.579075,279085,1615893833,578171015,mocap,-2.7641262207,10.4246308594,1.93358508301,0.154840497372,0.205061241488,0.966081790224,0.0256959436087
2021/03/16/12:23:53.590302,279086,1615893833,588171005,mocap,-2.76411645508,10.4246230469,1.93359313965,0.154859541573,0.205175578467,0.96605155807,0.0258049257966
2021/03/16/12:23:53.599329,279087,1615893833,598170996,mocap,-2.7641003418,10.4246621094,1.93362145996,0.155009996491,0.205180150791,0.966026507855,0.0258029444642
2021/03/16/12:23:53.609313,279088,1615893833,608170986,mocap,-2.76409814453,10.424671875,1.93363208008,0.15502937581,0.205280802098,0.96600033092,0.0258659400756
2021/03/16/12:23:53.619159,279089,1615893833,618170977,mocap,-2.76407641602,10.4246503906,1.93357824707,0.154954152257,0.205370869015,0.965990188517,0.0259803400806
2021/03/16/12:23:53.631203,279090,1615893833,628171206,mocap,-2.76408886719,10.4246396484,1.93359631348,0.155008966998,0.205410555336,0.965970150208,0.0260842472124
2021/03/16/12:23:53.639037,279091,1615893833,638171196,mocap,-2.76409619141,10.4246376953,1.93361560059,0.15504711951,0.205436725669,0.965956767966,0.0261469487622
2021/03/16/12:23:53.651181,279092,1615893833,648171186,mocap,-2.7641003418,10.424640625,1.93361987305,0.154991714473,0.205537662192,0.96594019224,0.0262943209945
2021/03/16/12:23:53.659068,279093,1615893833,658171177,mocap,-2.76409838867,10.4246494141,1.93362524414,0.15496379602,0.205648660404,0.965918725904,0.0263792443827
2021/03/16/12:23:53.671495,279094,1615893833,668171167,mocap,-2.76408251953,10.4246533203,1.93364331055,0.155047272685,0.205712880436,0.965892623185,0.0263440301086
2021/03/16/12:23:53.678913,279095,1615893833,678171158,mocap,-2.76409887695,10.4246347656,1.93365026855,0.155212007317,0.206061671978,0.96578681664,0.0265261765683
2021/03/16/12:23:53.691089,279096,1615893833,688171148,mocap,-2.76408740234,10.4246572266,1.9336484375,0.155265315796,0.206177688188,0.965752787298,0.0265516049839
2021/03/16/12:23:53.699367,279097,1615893833,698171139,mocap,-2.7641171875,10.4246435547,1.93368078613,0.155305494919,0.206369891617,0.965698573942,0.0267940815436
2021/03/16/12:23:53.711031,279098,1615893833,708171129,mocap,-2.76413500977,10.4246337891,1.93367785645,0.155296329786,0.20665868454,0.965633370385,0.0269708308357
2021/03/16/12:23:53.719258,279099,1615893833,718171120,mocap,-2.76416918945,10.4246201172,1.93370922852,0.155189072303,0.206648754706,0.96564811506,0.0271360122799
2021/03/16/12:23:53.731049,279100,1615893833,728171110,mocap,-2.76418017578,10.4245986328,1.93368554688,0.155195808222,0.206681360837,0.965636688149,0.0272554602269
2021/03/16/12:23:53.739298,279101,1615893833,738171101,mocap,-2.76421044922,10.4245195313,1.93369628906,0.155277796339,0.206811566754,0.965590091803,0.0274509328243
