time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/12:35:16.828755,338032,1615894516,828171015,mocap,-2.80227563477,10.3680185547,1.93419262695,0.136064995307,0.230752197082,0.944414689766,-0.190579731589
2021/03/16/12:35:16.840453,338033,1615894516,838171005,mocap,-2.80216625977,10.3683261719,1.93427563477,0.135584389809,0.232227556394,0.94400693257,-0.191149555497
2021/03/16/12:35:16.850316,338034,1615894516,848170996,mocap,-2.80208740234,10.3686816406,1.93433374023,0.135451159339,0.233435375059,0.943666262101,-0.191454711976
2021/03/16/12:35:16.860439,338035,1615894516,858170986,mocap,-2.80200634766,10.3690517578,1.93442858887,0.135381698187,0.234642334966,0.943252502137,-0.192066366734
2021/03/16/12:35:16.868929,338036,1615894516,868170977,mocap,-2.80189794922,10.3693251953,1.93444299316,0.134976002249,0.235809965366,0.942924209592,-0.192533278015
2021/03/16/12:35:16.880185,338037,1615894516,878171206,mocap,-2.80175732422,10.3695878906,1.93447229004,0.134614741148,0.2369247505,0.942580650001,-0.193099070989
2021/03/16/12:35:16.889050,338038,1615894516,888170004,mocap,-2.80161035156,10.3698710937,1.9344375,0.134473078786,0.237957959777,0.942230117365,-0.193637318029
2021/03/16/12:35:16.901147,338039,1615894516,898169994,mocap,-2.80142163086,10.3701669922,1.93446337891,0.134308796733,0.238985686746,0.941874075233,-0.194216906559
2021/03/16/12:35:16.909091,338040,1615894516,908171177,mocap,-2.80124682617,10.3703642578,1.93440197754,0.134011306973,0.239853284789,0.941574271629,-0.194805698022
2021/03/16/12:35:16.918932,338041,1615894516,918171167,mocap,-2.80105322266,10.3705703125,1.93434729004,0.133806501757,0.24071799675,0.941280269503,-0.195300092684
2021/03/16/12:35:16.931151,338042,1615894516,928171158,mocap,-2.80088085937,10.3708271484,1.93438708496,0.133884501387,0.241221008352,0.941004766431,-0.195952515494
