time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/14:52:01.804170,951437,1615902721,808171034,mocap,-2.79593115234,10.3622421875,1.93019934082,0.166159865195,0.234112242768,0.955306004523,-0.0705179947684
2021/03/16/14:52:01.815691,951438,1615902721,818171024,mocap,-2.79597460937,10.3622958984,1.93014941406,0.166231035899,0.234221813499,0.955268021878,-0.0705009295116
2021/03/16/14:52:01.823966,951439,1615902721,828171015,mocap,-2.79617041016,10.3624277344,1.93036962891,0.164553220753,0.234699627004,0.955535623077,-0.0692098045487
2021/03/16/14:52:01.835945,951440,1615902721,838171005,mocap,-2.79607177734,10.3624248047,1.93019030762,0.166260351356,0.234232766006,0.9552733255,-0.0703233664052
2021/03/16/14:52:01.843808,951441,1615902721,848170996,mocap,-2.79611523438,10.3624794922,1.93017785645,0.166311598777,0.234293811425,0.955250940894,-0.0703028390544
2021/03/16/14:52:01.855344,951442,1615902721,858170033,mocap,-2.79615429688,10.3625058594,1.93019335938,0.166315318158,0.234287446107,0.955259816804,-0.0701946916866
2021/03/16/14:52:01.863868,951443,1615902721,868170977,mocap,-2.79620483398,10.362546875,1.93018811035,0.16650816891,0.234251349612,0.955231987665,-0.0702366490442
2021/03/16/14:52:01.875372,951444,1615902721,878170013,mocap,-2.79626782227,10.3625576172,1.93017858887,0.1665927359,0.23422426016,0.955226520017,-0.0702007663808
2021/03/16/14:52:01.883762,951445,1615902721,888171196,mocap,-2.79635546875,10.36259375,1.93022949219,0.166357110911,0.234075213505,0.955312111243,-0.0700919262932
2021/03/16/14:52:01.895145,951446,1615902721,898171186,mocap,-2.79643286133,10.3625751953,1.9302467041,0.166226871184,0.234179867598,0.955324496143,-0.0698821680591
2021/03/16/14:52:01.903718,951447,1615902721,908171177,mocap,-2.79651293945,10.3625556641,1.93021691895,0.166457643932,0.234241622978,0.955264114338,-0.0699513659597
2021/03/16/14:52:01.915391,951448,1615902721,918171167,mocap,-2.79658325195,10.3625439453,1.9302232666,0.166275115247,0.234007801675,0.955356448133,-0.0699070621084
2021/03/16/14:52:01.924382,951449,1615902721,928170204,mocap,-2.79665966797,10.3625302734,1.9302722168,0.16622178013,0.233986095772,0.955377153574,-0.0698235089585
2021/03/16/14:52:01.933780,951450,1615902721,938171148,mocap,-2.79672387695,10.3625,1.93022753906,0.166319142016,0.234037514551,0.95534241029,-0.0698946908863
2021/03/16/14:52:01.945153,951451,1615902721,948170185,mocap,-2.79680444336,10.3624765625,1.93022802734,0.166328130841,0.233939741594,0.9553578831,-0.0699890494896
2021/03/16/14:52:01.955258,951452,1615902721,958171129,mocap,-2.79687158203,10.3624433594,1.93025061035,0.166181359214,0.23388639229,0.955396930556,-0.0699829633901
2021/03/16/14:52:01.964006,951453,1615902721,968171120,mocap,-2.79696655273,10.3624082031,1.93025427246,0.166120612186,0.233703331766,0.955443829066,-0.0700983731528
2021/03/16/14:52:01.974993,951454,1615902721,978171110,mocap,-2.79705664063,10.36234375,1.93022827148,0.166027390937,0.233652027793,0.955477282033,-0.0700343487612
2021/03/16/14:52:01.983917,951455,1615902721,988171101,mocap,-2.79713720703,10.3622910156,1.930234375,0.166038266303,0.233602362042,0.955483668375,-0.0700869966826
2021/03/16/14:52:01.994946,951456,1615902721,998171091,mocap,-2.7972121582,10.3622167969,1.93025390625,0.165941516941,0.233398445212,0.955545018755,-0.0701589659162
2021/03/16/14:52:02.003833,951457,1615902722,8171082,mocap,-2.79728100586,10.3621259766,1.93021118164,0.165949339026,0.233251450869,0.955574507331,-0.0702278078004
2021/03/16/14:52:02.015162,951458,1615902722,18170118,mocap,-2.79734912109,10.3620419922,1.93023327637,0.165815998333,0.233056390339,0.955646517382,-0.070210395539
2021/03/16/14:52:02.023868,951459,1615902722,28171062,mocap,-2.79755615234,10.3620195313,1.93045739746,0.164209765917,0.233427954368,0.955913303352,-0.0691106654969
2021/03/16/14:52:02.034024,951460,1615902722,38170099,mocap,-2.79758325195,10.3619121094,1.93039099121,0.164321992083,0.233364074262,0.95589889956,-0.0692588032083
2021/03/16/14:52:02.044217,951461,1615902722,48171043,mocap,-2.79763891602,10.3618154297,1.93039196777,0.164301252992,0.233188672153,0.955934487756,-0.0694074640183
2021/03/16/14:52:02.055982,951462,1615902722,58171034,mocap,-2.79767260742,10.3616962891,1.93040380859,0.164136710212,0.233144270044,0.955975358768,-0.0693830805264
2021/03/16/14:52:02.063870,951463,1615902722,68171024,mocap,-2.79772558594,10.3615966797,1.93040686035,0.164221702304,0.23295877143,0.955994040073,-0.0695473686568
2021/03/16/14:52:02.075787,951464,1615902722,78171015,mocap,-2.79778759766,10.3614833984,1.93038183594,0.164382331756,0.232917782786,0.955959023043,-0.0697860993972
2021/03/16/14:52:02.084044,951465,1615902722,88171005,mocap,-2.79781616211,10.361359375,1.93038769531,0.164263064535,0.232747220216,0.956027185436,-0.0697022013466
2021/03/16/14:52:02.093804,951466,1615902722,98170996,mocap,-2.79786767578,10.3612373047,1.93040673828,0.164398443323,0.232624634347,0.956017022954,-0.0699313314385
2021/03/16/14:52:02.105012,951467,1615902722,108170033,mocap,-2.79790356445,10.3610966797,1.93035705566,0.164411933096,0.232635966986,0.956007826751,-0.0699875469399
2021/03/16/14:52:02.113921,951468,1615902722,118170977,mocap,-2.79796020508,10.3609648438,1.93038928223,0.164565494847,0.232550397164,0.955993112641,-0.070111898634
2021/03/16/14:52:02.126019,951469,1615902722,128170013,mocap,-2.79799926758,10.3608076172,1.93037231445,0.164417499842,0.232463866884,0.956040893705,-0.070094521777
2021/03/16/14:52:02.133880,951470,1615902722,138171196,mocap,-2.79805419922,10.3606826172,1.93037683105,0.16454779567,0.232519230909,0.955990260197,-0.0702954799051
