time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/15:00:15.675455,995914,1615903215,678170204,mocap,-2.80419287109,10.3660263672,1.93173840332,0.167185566694,0.214683701334,0.959426040099,-0.0739023563755
2021/03/16/15:00:15.683419,995915,1615903215,688171148,mocap,-2.80418286133,10.3660693359,1.93170056152,0.167234911232,0.21466059346,0.959428214483,-0.0738296732788
2021/03/16/15:00:15.695716,995916,1615903215,698170185,mocap,-2.80420947266,10.3661318359,1.93175158691,0.167121004695,0.214600073744,0.959460581153,-0.0738428687685
2021/03/16/15:00:15.704008,995917,1615903215,708171129,mocap,-2.80425146484,10.3662695312,1.9318972168,0.168007739327,0.214782382592,0.959244360712,-0.0741092870622
2021/03/16/15:00:15.715355,995918,1615903215,718171120,mocap,-2.80421386719,10.366234375,1.93170410156,0.167321282071,0.214457692117,0.959434574527,-0.0741401959563
2021/03/16/15:00:15.723484,995919,1615903215,728171110,mocap,-2.80424658203,10.3663388672,1.93174597168,0.167263790226,0.214407934873,0.959450851076,-0.0742032362473
2021/03/16/15:00:15.735168,995920,1615903215,738171101,mocap,-2.80425292969,10.3664091797,1.93175964355,0.16736862839,0.214492185032,0.959411518197,-0.0742320160911
2021/03/16/15:00:15.743349,995921,1615903215,748171091,mocap,-2.80426928711,10.3664853516,1.93175256348,0.167293770076,0.214545417022,0.959408334221,-0.0742879665823
2021/03/16/15:00:15.755256,995922,1615903215,758171082,mocap,-2.80430541992,10.3665917969,1.93178637695,0.167373983825,0.21447064976,0.959396444696,-0.0744764862109
2021/03/16/15:00:15.763419,995923,1615903215,768170118,mocap,-2.80431738281,10.3666806641,1.93180053711,0.167153029718,0.214458866198,0.959438736877,-0.0744618869134
2021/03/16/15:00:15.774367,995924,1615903215,778171062,mocap,-2.80433837891,10.3667724609,1.93177307129,0.167108206565,0.214507147467,0.959432229314,-0.0745072869252
2021/03/16/15:00:15.783671,995925,1615903215,788170099,mocap,-2.80434936523,10.3668554687,1.93175354004,0.166969961962,0.214634544897,0.959421838866,-0.0745840365377
2021/03/16/15:00:15.795026,995926,1615903215,798171043,mocap,-2.80436547852,10.3669511719,1.93179443359,0.167053774265,0.214578188812,0.959411285224,-0.0746942322115
2021/03/16/15:00:15.803711,995927,1615903215,808171034,mocap,-2.80437524414,10.3670761719,1.93180725098,0.16700445851,0.214589530198,0.959415540864,-0.0747173204519
2021/03/16/15:00:15.814995,995928,1615903215,818171024,mocap,-2.80437963867,10.3671572266,1.93176660156,0.167150343771,0.214635113633,0.95937677346,-0.0747577565922
2021/03/16/15:00:15.823489,995929,1615903215,828171015,mocap,-2.80439331055,10.3672382812,1.93180957031,0.167080240177,0.214668629707,0.959378241245,-0.0747994682284
2021/03/16/15:00:15.834106,995930,1615903215,838171005,mocap,-2.80439013672,10.3673339844,1.93177416992,0.167152494415,0.214652140369,0.959363672022,-0.0748721985308
2021/03/16/15:00:15.845158,995931,1615903215,848170996,mocap,-2.80441821289,10.3674208984,1.93175671387,0.166912319446,0.214685456451,0.959395846721,-0.0749001687774
2021/03/16/15:00:15.853685,995932,1615903215,858170033,mocap,-2.80442578125,10.3675,1.93179089355,0.16703008858,0.214771497661,0.959370024727,-0.074721544859
2021/03/16/15:00:15.865190,995933,1615903215,868170977,mocap,-2.80442456055,10.3676044922,1.93177770996,0.167037802996,0.214788665442,0.959365147593,-0.0747175717906
2021/03/16/15:00:15.874431,995934,1615903215,878170013,mocap,-2.80442333984,10.3677148438,1.93177294922,0.167111562615,0.215025349003,0.95930283769,-0.0746718134939
2021/03/16/15:00:15.883783,995935,1615903215,888171196,mocap,-2.80442626953,10.3677998047,1.93177819824,0.167162597073,0.215168710207,0.959263483208,-0.0746502498065
2021/03/16/15:00:15.895068,995936,1615903215,898171186,mocap,-2.80446606445,10.3678867188,1.93178894043,0.167127828343,0.215296894248,0.959247366588,-0.0745655725986
2021/03/16/15:00:15.903544,995937,1615903215,908171177,mocap,-2.80452099609,10.3679980469,1.93176916504,0.167411955846,0.215468953565,0.959155516105,-0.0746127544824
2021/03/16/15:00:15.915084,995938,1615903215,918171167,mocap,-2.8045612793,10.3680771484,1.93177441406,0.167389692877,0.215598354586,0.959138737393,-0.0745044514342
2021/03/16/15:00:15.923809,995939,1615903215,928170204,mocap,-2.80463989258,10.3681464844,1.93182788086,0.16720625806,0.215749660845,0.959151267079,-0.0743169128852
2021/03/16/15:00:15.935003,995940,1615903215,938171148,mocap,-2.80471582031,10.3682080078,1.93182214355,0.167156975016,0.215845026938,0.959143398176,-0.0742523844205
2021/03/16/15:00:15.943563,995941,1615903215,948170185,mocap,-2.80478466797,10.3682529297,1.93183886719,0.167096391493,0.215884659385,0.959148711441,-0.0742049034457
2021/03/16/15:00:15.954900,995942,1615903215,958171129,mocap,-2.80484960938,10.3682822266,1.93186767578,0.166880452633,0.215762216196,0.959224290224,-0.0740698710303
