time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/13:15:56.897836,519335,1615896956,898171186,mocap,-2.77611547852,10.3383857422,1.93670324707,0.146326520198,0.174964703646,0.973276913104,-0.0266072605359
2021/03/16/13:15:56.906916,519336,1615896956,908171177,mocap,-2.77634155273,10.3380205078,1.93674084473,0.145889737196,0.174703236174,0.973381729427,-0.0268879103864
2021/03/16/13:15:56.917172,519337,1615896956,918171167,mocap,-2.7765637207,10.3376035156,1.93671435547,0.145569296459,0.174527967884,0.973452207904,-0.0272098748472
2021/03/16/13:15:56.928112,519338,1615896956,928171158,mocap,-2.77682128906,10.3371894531,1.93670068359,0.145236051566,0.174283347594,0.973541416175,-0.0273661853648
2021/03/16/13:15:56.936826,519339,1615896956,938171148,mocap,-2.77710644531,10.3367041016,1.93666333008,0.145098616299,0.173541254398,0.973687203896,-0.0276236223519
2021/03/16/13:15:56.948161,519340,1615896956,948171139,mocap,-2.77740722656,10.3361474609,1.9365748291,0.14484633228,0.173122934269,0.973803299619,-0.0274792101263
2021/03/16/13:15:56.957546,519341,1615896956,958171129,mocap,-2.77773754883,10.3356337891,1.93650170898,0.144583571618,0.172294927091,0.973991144447,-0.0274098098565
2021/03/16/13:15:56.968023,519342,1615896956,968171120,mocap,-2.7781418457,10.3351113281,1.93647570801,0.143983076788,0.171180296192,0.974281638164,-0.027230177223
2021/03/16/13:15:56.977031,519343,1615896956,978171110,mocap,-2.77858374023,10.3345605469,1.9364453125,0.14369876305,0.170198799316,0.974503681514,-0.0269372989846
2021/03/16/13:15:56.987102,519344,1615896956,988171101,mocap,-2.77904296875,10.3339160156,1.93631750488,0.143115597954,0.169115114525,0.974788473488,-0.0265599947807
2021/03/16/13:15:56.996964,519345,1615896956,998171091,mocap,-2.77951147461,10.3333330078,1.93624328613,0.142921416726,0.167765518708,0.975062393063,-0.0261061842565
2021/03/16/13:15:57.006893,519346,1615896957,8171082,mocap,-2.7799987793,10.3327568359,1.93615869141,0.142577742248,0.166596694273,0.975327275136,-0.0255703709055
2021/03/16/13:15:57.016815,519347,1615896957,18171072,mocap,-2.78051293945,10.3321630859,1.93606335449,0.142036934427,0.165170649004,0.975671911413,-0.0246674945048
2021/03/16/13:15:57.028731,519348,1615896957,28171062,mocap,-2.78101635742,10.3315771484,1.93590869141,0.141431671786,0.163692204952,0.976031800074,-0.0237460447262
2021/03/16/13:15:57.038771,519349,1615896957,38171053,mocap,-2.78156811523,10.3310224609,1.93581396484,0.141147975453,0.162300603076,0.976331011992,-0.0226609754083
2021/03/16/13:15:57.046993,519350,1615896957,48171043,mocap,-2.78217236328,10.3304326172,1.93567980957,0.140647062973,0.160631879775,0.976706067023,-0.0214723683718
2021/03/16/13:15:57.059019,519351,1615896957,58171034,mocap,-2.78283154297,10.3300800781,1.93579345703,0.139574740784,0.160217494383,0.976967102158,-0.0196093533722
2021/03/16/13:15:57.066987,519352,1615896957,68171024,mocap,-2.78328930664,10.3293671875,1.93540112305,0.139922465817,0.157485531166,0.977376956818,-0.0188225495793
2021/03/16/13:15:57.078744,519353,1615896957,78171015,mocap,-2.78394360352,10.329046875,1.93555480957,0.138314374232,0.156751153392,0.977766553568,-0.0164553040321
2021/03/16/13:15:57.086940,519354,1615896957,88171005,mocap,-2.78468798828,10.3286328125,1.93577490234,0.135654416159,0.15363771569,0.978661356903,-0.0146725644704
2021/03/16/13:15:57.098678,519355,1615896957,98170996,mocap,-2.78497607422,10.3278867187,1.93511743164,0.138060357164,0.151510727027,0.978669167843,-0.0138018633797
2021/03/16/13:15:57.106931,519356,1615896957,108170986,mocap,-2.7855871582,10.3274433594,1.93505859375,0.138191061822,0.149768368485,0.978939299699,-0.0122684217816
2021/03/16/13:15:57.118707,519357,1615896957,118170977,mocap,-2.78630566406,10.3270400391,1.93516589355,0.136269872489,0.146937218228,0.979660574986,-0.010253342553
2021/03/16/13:15:57.126831,519358,1615896957,128171206,mocap,-2.78682275391,10.3266357422,1.93501879883,0.135823260456,0.145280155535,0.97998636089,-0.00851180761218
2021/03/16/13:15:57.137721,519359,1615896957,138171196,mocap,-2.78736694336,10.3263046875,1.9349354248,0.135621792285,0.14363962106,0.980270350471,-0.00666576410848
2021/03/16/13:15:57.147783,519360,1615896957,148171186,mocap,-2.78791015625,10.3259599609,1.93485351562,0.135612254608,0.142175980971,0.980494829416,-0.00501905964996
2021/03/16/13:15:57.157393,519361,1615896957,158171177,mocap,-2.78845336914,10.3256357422,1.93474304199,0.13517066569,0.140681931299,0.980778200778,-0.00340789215389
2021/03/16/13:15:57.167006,519362,1615896957,168171167,mocap,-2.78896948242,10.3253554688,1.93461645508,0.134856140517,0.139381506664,0.981011426679,-0.00179010645284
2021/03/16/13:15:57.178442,519363,1615896957,178171158,mocap,-2.78956591797,10.3251416016,1.93456835938,0.134748994347,0.138077696749,0.981212128984,-6.95056846547e-05
2021/03/16/13:15:57.187184,519364,1615896957,188171148,mocap,-2.79007055664,10.3249013672,1.93446899414,0.134397876209,0.136929534004,0.981420009913,0.001506467533
2021/03/16/13:15:57.198642,519365,1615896957,198171139,mocap,-2.79055737305,10.3246748047,1.93430859375,0.133909772009,0.135784730822,0.98164251064,0.00294430061275
2021/03/16/13:15:57.207178,519366,1615896957,208171129,mocap,-2.79107958984,10.3245185547,1.93423620605,0.133424951891,0.134820447804,0.981835100953,0.00459052101942
2021/03/16/13:15:57.218313,519367,1615896957,218171120,mocap,-2.79161694336,10.3243916016,1.93417883301,0.132989495624,0.133801709502,0.982025149804,0.00612313641831
2021/03/16/13:15:57.227226,519368,1615896957,228171110,mocap,-2.79209350586,10.3242324219,1.9340736084,0.132371787119,0.132789373976,0.982237242987,0.0073958919387
2021/03/16/13:15:57.239856,519369,1615896957,238171101,mocap,-2.79260742188,10.3240761719,1.93399597168,0.131741274065,0.131961714647,0.982423581374,0.00861717759882
2021/03/16/13:15:57.247716,519370,1615896957,248171091,mocap,-2.79309008789,10.3239902344,1.93389575195,0.131127428827,0.131231734628,0.982593346983,0.00970265128783
2021/03/16/13:15:57.256644,519371,1615896957,258171082,mocap,-2.79327978516,10.3238681641,1.93335400391,0.128870790771,0.131494186243,0.982822852088,0.0126820495029
2021/03/16/13:15:57.268376,519372,1615896957,268171072,mocap,-2.79374389648,10.3238291016,1.9333269043,0.12838080727,0.130956711521,0.982946282456,0.0136127891976
2021/03/16/13:15:57.276902,519373,1615896957,278171062,mocap,-2.79446435547,10.3238964844,1.93373327637,0.129592421073,0.129026991952,0.983059670399,0.012309078813
2021/03/16/13:15:57.287303,519374,1615896957,288171053,mocap,-2.79486499023,10.3239052734,1.93367480469,0.128865831606,0.12829740189,0.983244344994,0.0128031931043
2021/03/16/13:15:57.296815,519375,1615896957,298171043,mocap,-2.7952331543,10.3239453125,1.93366516113,0.127868694341,0.127684430682,0.983444174922,0.0135586505681
2021/03/16/13:15:57.308237,519376,1615896957,308171034,mocap,-2.79529663086,10.3238759766,1.93318566895,0.125289508955,0.128333005119,0.983654136713,0.0160540508062
2021/03/16/13:15:57.317225,519377,1615896957,318171024,mocap,-2.79562597656,10.3239130859,1.93316796875,0.124391832683,0.127761076749,0.983832186946,0.0166737798614
2021/03/16/13:15:57.327414,519378,1615896957,328171015,mocap,-2.79590991211,10.3239726562,1.93311425781,0.123777144887,0.127298438432,0.983960647267,0.017198051416
2021/03/16/13:15:57.336899,519379,1615896957,338171005,mocap,-2.79616748047,10.3240683594,1.93308569336,0.123007590332,0.126869207505,0.984103755819,0.0176954537124
2021/03/16/13:15:57.348288,519380,1615896957,348170996,mocap,-2.79665844727,10.3242597656,1.93354833984,0.124220422177,0.125518832344,0.984150066108,0.0162160501533
2021/03/16/13:15:57.357157,519381,1615896957,358170986,mocap,-2.79647631836,10.3242714844,1.93306176758,0.121715632973,0.126620324528,0.984277516034,0.0187179710032
2021/03/16/13:15:57.366974,519382,1615896957,368170977,mocap,-2.79679760742,10.3245078125,1.93347692871,0.122964062528,0.125428519492,0.984305545839,0.0170328492224
2021/03/16/13:15:57.376976,519383,1615896957,378171206,mocap,-2.79644897461,10.3245839844,1.93294812012,0.120544376732,0.126797434088,0.984386867876,0.0193379501983
2021/03/16/13:15:57.387887,519384,1615896957,388171196,mocap,-2.79637646484,10.3247617188,1.93296838379,0.120180770862,0.127119443352,0.984385838525,0.0195384733881
2021/03/16/13:15:57.396685,519385,1615896957,398171186,mocap,-2.79621386719,10.3249609375,1.93298352051,0.119813656293,0.127747326752,0.984346253112,0.0196916601178
2021/03/16/13:15:57.407058,519386,1615896957,408171177,mocap,-2.79594726563,10.3251220703,1.93294006348,0.119598758669,0.128371831552,0.984292246353,0.0196364333383
2021/03/16/13:15:57.417328,519387,1615896957,418171167,mocap,-2.79564453125,10.3253027344,1.93293774414,0.119508740683,0.12907319195,0.984220129273,0.0191968012506
2021/03/16/13:15:57.426937,519388,1615896957,428171158,mocap,-2.79562475586,10.3255,1.93335192871,0.121112469113,0.128938000443,0.984079180274,0.0171732483239
2021/03/16/13:15:57.437060,519389,1615896957,438171148,mocap,-2.79527563477,10.3256201172,1.93334191895,0.121739470264,0.12965496759,0.983921718685,0.0163444231634
2021/03/16/13:15:57.446823,519390,1615896957,448171139,mocap,-2.79488891602,10.3256806641,1.93332019043,0.121862492208,0.130609104365,0.983788572958,0.0158377724204
2021/03/16/13:15:57.457971,519391,1615896957,458171129,mocap,-2.79449511719,10.3256816406,1.933296875,0.1218309823,0.131371157692,0.983703391741,0.0150485126199
2021/03/16/13:15:57.467335,519392,1615896957,468171120,mocap,-2.7940871582,10.3256523438,1.93330444336,0.122044533107,0.132170746692,0.983581344126,0.0142749177283
2021/03/16/13:15:57.477716,519393,1615896957,478171110,mocap,-2.79368481445,10.3255410156,1.93325708008,0.12210392403,0.132741566479,0.983508644634,0.0134556064957
2021/03/16/13:15:57.487170,519394,1615896957,488171101,mocap,-2.79324023437,10.3253369141,1.9331574707,0.122793365621,0.133265798562,0.98336519187,0.012446087229
2021/03/16/13:15:57.498961,519395,1615896957,498171091,mocap,-2.79280615234,10.3250810547,1.93309545898,0.123369579404,0.133502828576,0.983273419613,0.0114156848568
2021/03/16/13:15:57.507112,519396,1615896957,508171082,mocap,-2.79237597656,10.3247304687,1.93306542969,0.12408879642,0.133621640076,0.983181312934,0.0100860190002
2021/03/16/13:15:57.519061,519397,1615896957,518171072,mocap,-2.79197558594,10.3242744141,1.9329576416,0.124533097323,0.133477970708,0.98315863162,0.00861603599527
2021/03/16/13:15:57.527098,519398,1615896957,528171062,mocap,-2.79161889648,10.3237138672,1.93284448242,0.12505278811,0.13319506784,0.983141800276,0.00728505511056
2021/03/16/13:15:57.538620,519399,1615896957,538171053,mocap,-2.79131665039,10.3231347656,1.93279064941,0.12536104518,0.132577176286,0.983194453156,0.00604780582579
2021/03/16/13:15:57.546621,519400,1615896957,548171043,mocap,-2.79108056641,10.3224453125,1.93271130371,0.126048452606,0.131942198583,0.98319919693,0.00473076306698
2021/03/16/13:15:57.558701,519401,1615896957,558171034,mocap,-2.79090356445,10.3216650391,1.93260058594,0.126735595016,0.130897474054,0.983256385643,0.00328923758363
2021/03/16/13:15:57.567089,519402,1615896957,568171024,mocap,-2.79073730469,10.3208603516,1.93251550293,0.126786215203,0.129605334551,0.983424431648,0.00202412070656
2021/03/16/13:15:57.578626,519403,1615896957,578171015,mocap,-2.79064941406,10.3200263672,1.9324041748,0.126615731348,0.128337316124,0.983614302186,0.000943334811571
2021/03/16/13:15:57.586865,519404,1615896957,588171005,mocap,-2.79051855469,10.3191220703,1.93216967773,0.126111368234,0.126410158831,0.98392900324,-0.000342803496767
2021/03/16/13:15:57.597643,519405,1615896957,598170996,mocap,-2.79054199219,10.3181728516,1.93200732422,0.125908489144,0.124775438812,0.984162852724,-0.00127226096307
2021/03/16/13:15:57.608259,519406,1615896957,608170986,mocap,-2.79061254883,10.3172050781,1.93186303711,0.125571103051,0.123069051777,0.984419798967,-0.00188644562184
2021/03/16/13:15:57.616838,519407,1615896957,618170977,mocap,-2.79071069336,10.3161826172,1.93164367676,0.125715829485,0.121377720836,0.984609583499,-0.00263599227411
2021/03/16/13:15:57.627074,519408,1615896957,628171206,mocap,-2.79083203125,10.3151806641,1.93145812988,0.125483837505,0.119630910459,0.984851608245,-0.00309118871762
2021/03/16/13:15:57.637033,519409,1615896957,638171196,mocap,-2.79097607422,10.3141552734,1.93128393555,0.125180467314,0.117934857155,0.985093066786,-0.00358924565407
2021/03/16/13:15:57.648441,519410,1615896957,648171186,mocap,-2.79127490234,10.3134414062,1.93153930664,0.122808187639,0.116817636812,0.985526032592,-0.00319832908467
2021/03/16/13:15:57.657265,519411,1615896957,658171177,mocap,-2.79131933594,10.3120849609,1.93081091309,0.124850562764,0.114291042968,0.985561193543,-0.00436198974756
2021/03/16/13:15:57.668430,519412,1615896957,668171167,mocap,-2.79147143555,10.3110224609,1.93054101563,0.124624571475,0.11226967653,0.985820601919,-0.0046874574379
2021/03/16/13:15:57.676619,519413,1615896957,678171158,mocap,-2.79149047852,10.3102958984,1.93051025391,0.121126966234,0.112616785822,0.986226278656,-0.00185595593705
2021/03/16/13:15:57.688674,519414,1615896957,688171148,mocap,-2.79167480469,10.3093017578,1.93031005859,0.120950365394,0.110941253074,0.986437166437,-0.00218328615295
2021/03/16/13:15:57.696710,519415,1615896957,698171139,mocap,-2.79185180664,10.308234375,1.93008374023,0.120742062902,0.109332576791,0.986642353124,-0.00214583755217
2021/03/16/13:15:57.708462,519416,1615896957,708171129,mocap,-2.79196289062,10.3071416016,1.92967028809,0.119959056053,0.107170983844,0.986974085423,-0.00251993489639
2021/03/16/13:15:57.716876,519417,1615896957,718171120,mocap,-2.79208789062,10.3061660156,1.92942687988,0.119736609021,0.10535653784,0.987196783401,-0.00238104873173
2021/03/16/13:15:57.728279,519418,1615896957,728171110,mocap,-2.79223242188,10.3051904297,1.92918518066,0.119792677575,0.103616042243,0.987372949733,-0.00284475576582
2021/03/16/13:15:57.736873,519419,1615896957,738171101,mocap,-2.79237841797,10.3043798828,1.9291126709,0.120232118691,0.102189830642,0.987468626635,-0.00267928749783
2021/03/16/13:15:57.748265,519420,1615896957,748171091,mocap,-2.7924597168,10.3034912109,1.92887817383,0.120252695096,0.100457825919,0.987643371508,-0.0028432479379
2021/03/16/13:15:57.757003,519421,1615896957,758171082,mocap,-2.79252758789,10.3025966797,1.9286060791,0.120370919122,0.099159553629,0.987760097317,-0.0028662214072
2021/03/16/13:15:57.768415,519422,1615896957,768171072,mocap,-2.792609375,10.3017998047,1.92840148926,0.120119003157,0.0978412726954,0.987922218756,-0.00286691482391
2021/03/16/13:15:57.776746,519423,1615896957,778171062,mocap,-2.79263891602,10.3010341797,1.92816357422,0.119895433404,0.0965347218595,0.988077798641,-0.00289670120269
2021/03/16/13:15:57.786834,519424,1615896957,788171053,mocap,-2.79268969727,10.3003925781,1.92797180176,0.119810544656,0.095557904939,0.988183374798,-0.00278174249629
2021/03/16/13:15:57.798298,519425,1615896957,798171043,mocap,-2.79279516602,10.2997841797,1.9278013916,0.119544172271,0.0948274252869,0.988287266046,-0.00228481400233
2021/03/16/13:15:57.806867,519426,1615896957,808171034,mocap,-2.7928190918,10.2991455078,1.92756982422,0.119430374249,0.094099163937,0.988370974241,-0.00213423443069
2021/03/16/13:15:57.818333,519427,1615896957,818171024,mocap,-2.79282641602,10.2985078125,1.92722924805,0.118451279063,0.0931581524895,0.988577930112,-0.00212433383097
2021/03/16/13:15:57.827013,519428,1615896957,828171015,mocap,-2.79292700195,10.2981269531,1.92730834961,0.118951427521,0.093134594896,0.988520710096,-0.00182081384188
2021/03/16/13:15:57.838163,519429,1615896957,838171005,mocap,-2.79300390625,10.2975957031,1.92716381836,0.118686924467,0.0926085382659,0.988602378751,-0.00154901717902
2021/03/16/13:15:57.847131,519430,1615896957,848170996,mocap,-2.79307348633,10.2970625,1.92701757813,0.118652028334,0.0922094321063,0.988644280683,-0.00126349830515
2021/03/16/13:15:57.857042,519431,1615896957,858170986,mocap,-2.79308178711,10.2965175781,1.92688037109,0.118288545076,0.0916908243818,0.988736014092,-0.00130806400216
2021/03/16/13:15:57.866856,519432,1615896957,868170977,mocap,-2.79314111328,10.2960146484,1.92675158691,0.117864864206,0.0912888140389,0.988824129834,-0.0010322754312
2021/03/16/13:15:57.878229,519433,1615896957,878171206,mocap,-2.79322387695,10.2954570313,1.92664001465,0.117853476337,0.0909960677397,0.988852633528,-0.000854360571093
2021/03/16/13:15:57.886906,519434,1615896957,888171196,mocap,-2.79321582031,10.2949238281,1.92651672363,0.117510376429,0.0906104657476,0.988928955789,-0.000762871552494
2021/03/16/13:15:57.898302,519435,1615896957,898171186,mocap,-2.79321411133,10.2943779297,1.92637463379,0.117444883506,0.090167619728,0.988977232417,-0.000718435853824
2021/03/16/13:15:57.906724,519436,1615896957,908171177,mocap,-2.79317529297,10.2938173828,1.9262088623,0.117432565347,0.0897798963854,0.989013973209,-0.000721355172307
2021/03/16/13:15:57.918942,519437,1615896957,918171167,mocap,-2.7931862793,10.2932480469,1.92610400391,0.117302065138,0.0892883696889,0.989073997057,-0.000669271872436
2021/03/16/13:15:57.926834,519438,1615896957,928171158,mocap,-2.7931628418,10.2926201172,1.92593884277,0.117044224248,0.0887036621298,0.989157081288,-0.000763158847868
