time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/14:41:51.384378,899218,1615902111,388171196,mocap,-2.78710180664,10.3636533203,1.93202954102,0.161045466783,0.22535572609,0.960059338452,-0.0395629455228
2021/03/16/14:41:51.394508,899219,1615902111,398171186,mocap,-2.78714208984,10.3636611328,1.93203479004,0.160780050173,0.225205114941,0.960151684458,-0.0392578200442
2021/03/16/14:41:51.405728,899220,1615902111,408171177,mocap,-2.78721118164,10.3636572266,1.93199938965,0.160885223849,0.224916299998,0.960203937498,-0.0392047457649
2021/03/16/14:41:51.415734,899221,1615902111,418171167,mocap,-2.78727441406,10.3636386719,1.93205432129,0.160526538348,0.224673507533,0.960334270602,-0.0388732984798
2021/03/16/14:41:51.424220,899222,1615902111,428171158,mocap,-2.78733935547,10.3636269531,1.93208984375,0.160614629144,0.224516941705,0.960358375399,-0.0388183777348
2021/03/16/14:41:51.434618,899223,1615902111,438171148,mocap,-2.78739208984,10.3636171875,1.93203173828,0.160255425744,0.224286481935,0.960483730765,-0.0385326298315
2021/03/16/14:41:51.445510,899224,1615902111,448171139,mocap,-2.78746411133,10.3636005859,1.93204736328,0.160168601872,0.22405696942,0.960557265379,-0.0383957320084
2021/03/16/14:41:51.454252,899225,1615902111,458171129,mocap,-2.78753393555,10.3635380859,1.93210412598,0.16008518334,0.223733386182,0.96065196005,-0.0382612063414
2021/03/16/14:41:51.464676,899226,1615902111,468171120,mocap,-2.78759692383,10.3635224609,1.9320625,0.15999702309,0.223527741123,0.960721162154,-0.0380940421838
2021/03/16/14:41:51.475384,899227,1615902111,478171110,mocap,-2.7876472168,10.3634951172,1.93206677246,0.159760533674,0.223324650255,0.960816034533,-0.0378843385123
2021/03/16/14:41:51.484147,899228,1615902111,488171101,mocap,-2.78772192383,10.3634277344,1.93207373047,0.159412988375,0.222943406007,0.960968583077,-0.0377241865324
2021/03/16/14:41:51.494472,899229,1615902111,498171091,mocap,-2.78777832031,10.3633652344,1.93205895996,0.159270816366,0.222662956606,0.961058128353,-0.0376999256423
2021/03/16/14:41:51.505396,899230,1615902111,508171082,mocap,-2.78783398438,10.3633574219,1.93205529785,0.15924625174,0.222424502103,0.96112356478,-0.0375429511726
2021/03/16/14:41:51.514370,899231,1615902111,518171072,mocap,-2.78787719727,10.3633369141,1.93210107422,0.158814976265,0.222164746126,0.961257524622,-0.037478106298
2021/03/16/14:41:51.524042,899232,1615902111,528171062,mocap,-2.78789379883,10.3632636719,1.93208789063,0.158687562215,0.221830926757,0.961358877385,-0.0373952393349
2021/03/16/14:41:51.534375,899233,1615902111,538171053,mocap,-2.78790600586,10.3632285156,1.93204919434,0.158797268831,0.221755551933,0.961356784869,-0.0374303204318
2021/03/16/14:41:51.544150,899234,1615902111,548171043,mocap,-2.78792578125,10.363234375,1.93212805176,0.158439125193,0.221385722381,0.961503064027,-0.0373800080136
2021/03/16/14:41:51.555244,899235,1615902111,558171034,mocap,-2.78798120117,10.3632304688,1.9321114502,0.158678373387,0.221320656099,0.961468216641,-0.0376458727364
2021/03/16/14:41:51.566419,899236,1615902111,568171024,mocap,-2.78792456055,10.3631552734,1.93206225586,0.158724387433,0.221168153164,0.961503753678,-0.0374400089275
2021/03/16/14:41:51.574359,899237,1615902111,578171015,mocap,-2.78795361328,10.3631669922,1.93210974121,0.158618837501,0.221043779773,0.961544116765,-0.0375848493597
2021/03/16/14:41:51.586067,899238,1615902111,588171005,mocap,-2.78798266602,10.3632109375,1.93216394043,0.158547512045,0.221002658724,0.961560094159,-0.0377185221995
2021/03/16/14:41:51.594223,899239,1615902111,598170996,mocap,-2.78797143555,10.363171875,1.93211425781,0.158665058836,0.220939213574,0.961549509746,-0.0378655253689
2021/03/16/14:41:51.604501,899240,1615902111,608170986,mocap,-2.78792895508,10.3631025391,1.93210192871,0.158246227793,0.22085581668,0.961650645791,-0.0375350268623
2021/03/16/14:41:51.614337,899241,1615902111,618170977,mocap,-2.78797167969,10.3631630859,1.93216320801,0.158436322484,0.220739287015,0.961628184947,-0.0379913943441
2021/03/16/14:41:51.626024,899242,1615902111,628171206,mocap,-2.78797094727,10.3631933594,1.93217370605,0.158458198568,0.220744845927,0.961619933418,-0.0380764654539
2021/03/16/14:41:51.634514,899243,1615902111,638171196,mocap,-2.78793603516,10.3631328125,1.93212817383,0.158340453385,0.220913667761,0.961607885285,-0.0378911433254
2021/03/16/14:41:51.645936,899244,1615902111,648171186,mocap,-2.78798950195,10.3631357422,1.93216943359,0.158198027965,0.220814222168,0.961646415537,-0.038087109494
2021/03/16/14:41:51.654173,899245,1615902111,658171177,mocap,-2.78794897461,10.363140625,1.93219335938,0.158097216673,0.220800770804,0.961671897497,-0.0379400447154
2021/03/16/14:41:51.665955,899246,1615902111,668171167,mocap,-2.78799462891,10.3631796875,1.93216540527,0.158405186704,0.220774903058,0.961609729317,-0.0383792557852
2021/03/16/14:41:51.674545,899247,1615902111,678171158,mocap,-2.78802905273,10.3631171875,1.9321685791,0.158063218197,0.220823872063,0.961661918628,-0.0381994132566
2021/03/16/14:41:51.685857,899248,1615902111,688171148,mocap,-2.78804418945,10.3631523438,1.93219287109,0.158084170998,0.220704678651,0.961679761206,-0.0383518648899
2021/03/16/14:41:51.694677,899249,1615902111,698171139,mocap,-2.78806103516,10.3631347656,1.93218469238,0.157998756638,0.220705648359,0.961693427638,-0.0383557810243
2021/03/16/14:41:51.704091,899250,1615902111,708171129,mocap,-2.78802734375,10.3630595703,1.93218884277,0.157809741455,0.220598940999,0.961758929296,-0.0381045903131
2021/03/16/14:41:51.714670,899251,1615902111,718171120,mocap,-2.78809985352,10.3630458984,1.9321796875,0.157728206958,0.220552992541,0.961775220736,-0.0382962997508
2021/03/16/14:41:51.724165,899252,1615902111,728171110,mocap,-2.78811767578,10.3630615234,1.93218041992,0.15778517884,0.220423674994,0.961785639986,-0.0385437222495
2021/03/16/14:41:51.734617,899253,1615902111,738171101,mocap,-2.78814990234,10.3630576172,1.93220922852,0.157650997025,0.220376833726,0.961821668806,-0.0384615473614
2021/03/16/14:41:51.744447,899254,1615902111,748171091,mocap,-2.78816894531,10.3629931641,1.93221069336,0.157384994504,0.220388606511,0.96187086444,-0.0382526674077
2021/03/16/14:41:51.754112,899255,1615902111,758171082,mocap,-2.78819824219,10.3629541016,1.93218774414,0.157537637077,0.220297606066,0.961858796212,-0.0384514811339
2021/03/16/14:41:51.765635,899256,1615902111,768171072,mocap,-2.78821386719,10.3629638672,1.93221899414,0.157372971025,0.220211643165,0.961906998507,-0.0384124099707
2021/03/16/14:41:51.774164,899257,1615902111,778171062,mocap,-2.78824731445,10.3629453125,1.93224243164,0.157200811424,0.220119171165,0.961959922975,-0.0383218053109
2021/03/16/14:41:51.785538,899258,1615902111,788171053,mocap,-2.78827758789,10.3628652344,1.93218981934,0.157297284318,0.220039474927,0.961956189777,-0.0384768988691
2021/03/16/14:41:51.794495,899259,1615902111,798171043,mocap,-2.78827783203,10.3628417969,1.93217883301,0.157237037612,0.219964625353,0.961983793413,-0.0384611204076
2021/03/16/14:41:51.805455,899260,1615902111,808171034,mocap,-2.78825732422,10.3628115234,1.93222937012,0.156881225143,0.219824573075,0.962090451871,-0.0380446618885
2021/03/16/14:41:51.814585,899261,1615902111,818171024,mocap,-2.78832104492,10.3628085937,1.93221643066,0.157111826581,0.219766465318,0.962047749635,-0.0385058578826
2021/03/16/14:41:51.825499,899262,1615902111,828171015,mocap,-2.78834716797,10.3627451172,1.93215820312,0.157096925602,0.219714260609,0.962062123324,-0.0385056641179
2021/03/16/14:41:51.834579,899263,1615902111,838171005,mocap,-2.78832543945,10.3627080078,1.93216674805,0.156717315094,0.219627501741,0.962158799383,-0.0381299957174
2021/03/16/14:41:51.844229,899264,1615902111,848170996,mocap,-2.7883828125,10.3627626953,1.93222387695,0.156959737978,0.219344266441,0.962167619312,-0.0385382970801
2021/03/16/14:41:51.855591,899265,1615902111,858170986,mocap,-2.78834765625,10.3626708984,1.9320904541,0.156857352046,0.219454741886,0.962165249787,-0.0383851185797
2021/03/16/14:41:51.864120,899266,1615902111,868170977,mocap,-2.78837011719,10.3626279297,1.93211706543,0.156863044508,0.21931731812,0.962195309802,-0.0383937663422
2021/03/16/14:41:51.874476,899267,1615902111,878171206,mocap,-2.78836938477,10.3626318359,1.93216223145,0.156702093899,0.219014457009,0.962285445501,-0.0385206510725
2021/03/16/14:41:51.884129,899268,1615902111,888171196,mocap,-2.7883515625,10.3626171875,1.93211547852,0.156958732727,0.218992359255,0.962247784811,-0.0385422940936
2021/03/16/14:41:51.894134,899269,1615902111,898171186,mocap,-2.78833154297,10.3625546875,1.93210424805,0.156671008989,0.218851743592,0.962330328242,-0.0384505948901
2021/03/16/14:41:51.905346,899270,1615902111,908171177,mocap,-2.78833642578,10.3625361328,1.9321640625,0.156823372101,0.218664357731,0.962343892529,-0.0385559106733
