time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/13:39:09.636673,612345,1615898349,638171196,mocap,-2.77265332031,10.3786630859,1.93268103027,0.183774208557,0.181115900525,0.96371257744,0.0684261008045
2021/03/16/13:39:09.646386,612346,1615898349,648171186,mocap,-2.77260424805,10.3785351563,1.93245715332,0.181932352453,0.181655592044,0.963895231108,0.069338654653
2021/03/16/13:39:09.658070,612347,1615898349,658171177,mocap,-2.77267382812,10.3786826172,1.93268688965,0.183654753827,0.181201912642,0.963705240576,0.0686222631706
2021/03/16/13:39:09.665900,612348,1615898349,668171167,mocap,-2.77265893555,10.3787138672,1.9326953125,0.18367144751,0.18121450151,0.963687219022,0.0687971688505
2021/03/16/13:39:09.677812,612349,1615898349,678171158,mocap,-2.77262402344,10.3785800781,1.93248022461,0.181930788708,0.181752838097,0.963861907975,0.0695508381738
2021/03/16/13:39:09.686188,612350,1615898349,688171148,mocap,-2.7726640625,10.3786982422,1.9326842041,0.183570316789,0.18119864191,0.963707011015,0.0688316150277
2021/03/16/13:39:09.697595,612351,1615898349,698171139,mocap,-2.77265820313,10.3787207031,1.93267358398,0.183657995353,0.181173815559,0.963694641067,0.0688362366153
2021/03/16/13:39:09.706133,612352,1615898349,708171129,mocap,-2.7726652832,10.3787128906,1.93268994141,0.183724143871,0.181116931703,0.963687180365,0.0689137600195
2021/03/16/13:39:09.717900,612353,1615898349,718171120,mocap,-2.77265527344,10.3786894531,1.93267578125,0.183628848328,0.181115256568,0.963696751701,0.069038153672
2021/03/16/13:39:09.726036,612354,1615898349,728171110,mocap,-2.77259423828,10.3785390625,1.93244262695,0.1820364741,0.181606743754,0.963860547508,0.0696746423783
2021/03/16/13:39:09.737842,612355,1615898349,738171101,mocap,-2.77265039062,10.37865625,1.93269287109,0.183591038461,0.180856685867,0.963755739333,0.0689932912941
2021/03/16/13:39:09.746442,612356,1615898349,748171091,mocap,-2.77266113281,10.3786230469,1.93268103027,0.183635048587,0.180956774316,0.963719311224,0.0691223389086
2021/03/16/13:39:09.757647,612357,1615898349,758171082,mocap,-2.77265942383,10.3786015625,1.93264208984,0.18345667489,0.180737891071,0.963796487397,0.0690926501341
2021/03/16/13:39:09.766071,612358,1615898349,768171072,mocap,-2.77260522461,10.3784384766,1.93242431641,0.18212120664,0.18118636646,0.96392724682,0.0696249211223
2021/03/16/13:39:09.776572,612359,1615898349,778171062,mocap,-2.77268676758,10.3785673828,1.93266149902,0.183407561056,0.180649043584,0.963818395243,0.0691497427592
2021/03/16/13:39:09.786160,612360,1615898349,788171053,mocap,-2.77269189453,10.3785351563,1.93264208984,0.183438493969,0.180630255389,0.963821054454,0.0690797419907
2021/03/16/13:39:09.797629,612361,1615898349,798171043,mocap,-2.77269580078,10.3784707031,1.93263549805,0.183401873831,0.180382173936,0.963875257464,0.0690689043568
2021/03/16/13:39:09.806073,612362,1615898349,808171034,mocap,-2.77269628906,10.3784589844,1.93265100098,0.183381507028,0.180303228676,0.963889186496,0.0691346928488
2021/03/16/13:39:09.817538,612363,1615898349,818171024,mocap,-2.77269213867,10.3784414062,1.93262658691,0.183574932031,0.180136848289,0.963894844625,0.0689760434666
2021/03/16/13:39:09.825886,612364,1615898349,828171015,mocap,-2.77267895508,10.3784023438,1.93263427734,0.18353500626,0.179965908771,0.963948115978,0.0687837890036
2021/03/16/13:39:09.837355,612365,1615898349,838171005,mocap,-2.77268774414,10.3783759766,1.93263000488,0.18350042859,0.179874245145,0.963967183809,0.0688485159287
2021/03/16/13:39:09.846146,612366,1615898349,848170996,mocap,-2.77267578125,10.3783857422,1.93264123535,0.183431999181,0.179775105467,0.963999088928,0.0688430510667
2021/03/16/13:39:09.856368,612367,1615898349,858170986,mocap,-2.77267456055,10.3783769531,1.93263085937,0.183552903537,0.179738731489,0.963990146636,0.0687408586347
