time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/13:49:29.316297,669422,1615898969,318171024,mocap,-2.78404174805,10.4114267578,1.93257763672,0.164351477251,0.254443821405,0.952884698499,0.0160526163505
2021/03/16/13:49:29.327278,669423,1615898969,328171015,mocap,-2.78411645508,10.4115097656,1.93276696777,0.162195492152,0.256466973753,0.952678841775,0.0178983987203
2021/03/16/13:49:29.335779,669424,1615898969,338171005,mocap,-2.78407885742,10.4115273438,1.93278833008,0.161617483369,0.257906285208,0.9523771119,0.0184924369397
2021/03/16/13:49:29.346204,669425,1615898969,348170996,mocap,-2.78396606445,10.4115078125,1.93277966309,0.161170245139,0.259033695402,0.952135784359,0.0190564091064
2021/03/16/13:49:29.358011,669426,1615898969,358170986,mocap,-2.78385839844,10.4114121094,1.93275158691,0.160977714603,0.260015781065,0.951892618879,0.0194527810427
2021/03/16/13:49:29.366014,669427,1615898969,368170977,mocap,-2.78370800781,10.4112558594,1.93271826172,0.160839321362,0.260680286503,0.951728368187,0.0197387970218
2021/03/16/13:49:29.376490,669428,1615898969,378171206,mocap,-2.78357592773,10.4110693359,1.93268261719,0.160882837607,0.261210397007,0.951571527448,0.019936833426
2021/03/16/13:49:29.386295,669429,1615898969,388171196,mocap,-2.78337719727,10.4108291016,1.93268762207,0.160736019665,0.261568520579,0.951493203094,0.0201623410613
2021/03/16/13:49:29.397624,669430,1615898969,398171186,mocap,-2.7830793457,10.4105048828,1.93250415039,0.162062332113,0.261135897636,0.951406555677,0.0192198879161
2021/03/16/13:49:29.405747,669431,1615898969,408171177,mocap,-2.78280200195,10.4100927734,1.93226123047,0.163463636273,0.260563643881,0.951335250641,0.0186403782158
2021/03/16/13:49:29.416314,669432,1615898969,418171167,mocap,-2.78269677734,10.4098623047,1.93241259766,0.162040425249,0.261223170993,0.951378848765,0.0195869822373
2021/03/16/13:49:29.425731,669433,1615898969,428171158,mocap,-2.78255688477,10.4097265625,1.93261816406,0.160659240704,0.262421753348,0.951264167397,0.020492235744
2021/03/16/13:49:29.435824,669434,1615898969,438171148,mocap,-2.78237573242,10.4094794922,1.93256896973,0.160611119309,0.262747799485,0.951180248498,0.0205865257889
2021/03/16/13:49:29.445671,669435,1615898969,448171139,mocap,-2.78219287109,10.4092294922,1.93247265625,0.160675393196,0.26333941736,0.951006473518,0.0205535999199
2021/03/16/13:49:29.457573,669436,1615898969,458171129,mocap,-2.78200488281,10.4090068359,1.93237304688,0.160819431607,0.264016632161,0.950793298662,0.0206019751725
2021/03/16/13:49:29.465979,669437,1615898969,468171120,mocap,-2.78180664063,10.4087509766,1.93229431152,0.160582452299,0.264423793239,0.950719189088,0.0206483105407
2021/03/16/13:49:29.476207,669438,1615898969,478171110,mocap,-2.78163476562,10.4084755859,1.93216015625,0.161255601212,0.265157428664,0.950402506775,0.0205729711618
2021/03/16/13:49:29.486077,669439,1615898969,488171101,mocap,-2.7814519043,10.4082138672,1.93207666016,0.161329543684,0.265675661908,0.950242985219,0.0206756402154
2021/03/16/13:49:29.495978,669440,1615898969,498171091,mocap,-2.78131176758,10.4079316406,1.93200170898,0.161770928895,0.266222340882,0.95001500488,0.0206716985595
2021/03/16/13:49:29.506157,669441,1615898969,508171082,mocap,-2.78114575195,10.4076298828,1.93184924316,0.162162792103,0.266862412756,0.949769013645,0.0206519987853
2021/03/16/13:49:29.515839,669442,1615898969,518171072,mocap,-2.78100927734,10.4073535156,1.93174267578,0.162336527123,0.267447799502,0.949575882905,0.0205955449019
2021/03/16/13:49:29.527128,669443,1615898969,528171062,mocap,-2.78090087891,10.4070742187,1.93163537598,0.162622487765,0.268194665736,0.949317134264,0.020555376069
2021/03/16/13:49:29.535930,669444,1615898969,538171053,mocap,-2.78078833008,10.4067998047,1.93154125977,0.162687084915,0.268794934509,0.949135152644,0.0206070100584
2021/03/16/13:49:29.547170,669445,1615898969,548171043,mocap,-2.78070117188,10.4065566406,1.93147888184,0.162917299862,0.269487332475,0.948900397019,0.0205564212201
2021/03/16/13:49:29.555917,669446,1615898969,558171034,mocap,-2.78062036133,10.4062822266,1.93134777832,0.162890750588,0.270300738341,0.94867335848,0.0205664398311
2021/03/16/13:49:29.567884,669447,1615898969,568171024,mocap,-2.780578125,10.4060244141,1.93126940918,0.163362542241,0.271082971527,0.948372546113,0.0204013333334
2021/03/16/13:49:29.575871,669448,1615898969,578171015,mocap,-2.78051269531,10.4057841797,1.93117260742,0.163351345871,0.272025297969,0.948104864169,0.0203896850121
2021/03/16/13:49:29.585864,669449,1615898969,588171005,mocap,-2.78048266602,10.4055791016,1.93109008789,0.163423113309,0.272916808632,0.947840958321,0.020170002171
2021/03/16/13:49:29.596789,669450,1615898969,598170996,mocap,-2.78042993164,10.4053808594,1.93093505859,0.163348222514,0.273924238371,0.947567488562,0.0199681467408
2021/03/16/13:49:29.605762,669451,1615898969,608170986,mocap,-2.78042041016,10.4052363281,1.93080639648,0.163262153434,0.275178402213,0.947223819715,0.0197322144865
2021/03/16/13:49:29.617840,669452,1615898969,618170977,mocap,-2.78045214844,10.4051855469,1.93076623535,0.163147145784,0.276451837265,0.946876123321,0.0195704596221
2021/03/16/13:49:29.625926,669453,1615898969,628171206,mocap,-2.78042285156,10.4051523438,1.93065356445,0.16318671983,0.278029826102,0.946414699029,0.0192024248376
2021/03/16/13:49:29.637774,669454,1615898969,638171196,mocap,-2.78045874023,10.4051152344,1.93058789063,0.163016844151,0.279623994657,0.945976008705,0.0191131102272
2021/03/16/13:49:29.645797,669455,1615898969,648171186,mocap,-2.78046289062,10.4051552734,1.93051196289,0.163135334027,0.281504865425,0.945404056182,0.0187895375281
2021/03/16/13:49:29.657617,669456,1615898969,658171177,mocap,-2.78051464844,10.4051992188,1.9304675293,0.163310660336,0.283082922751,0.944909049078,0.0184545719524
2021/03/16/13:49:29.665756,669457,1615898969,668171167,mocap,-2.78054956055,10.4052324219,1.93039538574,0.163224024905,0.284834549092,0.944400978413,0.0182751768143
2021/03/16/13:49:29.677765,669458,1615898969,678171158,mocap,-2.78061743164,10.4052753906,1.93035412598,0.163142162834,0.286475057891,0.943919645308,0.0182312027217
2021/03/16/13:49:29.685920,669459,1615898969,688171148,mocap,-2.78053833008,10.4052451172,1.93007104492,0.164458482373,0.287627907698,0.943365014101,0.0169130878096
2021/03/16/13:49:29.697597,669460,1615898969,698171139,mocap,-2.78069042969,10.4052607422,1.93008483887,0.163954358093,0.288887964831,0.943063424959,0.0171490115497
2021/03/16/13:49:29.705993,669461,1615898969,708171129,mocap,-2.78080639648,10.40528125,1.92993884277,0.163609988148,0.290130559624,0.942738457018,0.0173270856027
2021/03/16/13:49:29.717687,669462,1615898969,718171120,mocap,-2.78097802734,10.4052382812,1.92987145996,0.163231661422,0.291216281613,0.942459822755,0.0178320212544
2021/03/16/13:49:29.725947,669463,1615898969,728171110,mocap,-2.78118554688,10.4051923828,1.92987817383,0.162779501499,0.292107982293,0.94225430576,0.018236829702
2021/03/16/13:49:29.737601,669464,1615898969,738171101,mocap,-2.78140527344,10.4050917969,1.92984863281,0.162131251472,0.292990276957,0.942080893108,0.0188080024162
2021/03/16/13:49:29.745996,669465,1615898969,748171091,mocap,-2.78162915039,10.4049169922,1.92982702637,0.161885321171,0.293522289416,0.941949007269,0.0192319841915
2021/03/16/13:49:29.757267,669466,1615898969,758171082,mocap,-2.78187939453,10.404703125,1.92981616211,0.161323285385,0.293586511193,0.942018610493,0.0195628321555
2021/03/16/13:49:29.765757,669467,1615898969,768171072,mocap,-2.78210913086,10.4044765625,1.92984069824,0.160971207503,0.293607534292,0.942063422755,0.0199847350912
2021/03/16/13:49:29.777176,669468,1615898969,778171062,mocap,-2.78235888672,10.4042119141,1.92991784668,0.160391567301,0.293332156591,0.942239321522,0.0203926263702
2021/03/16/13:49:29.785966,669469,1615898969,788171053,mocap,-2.78258056641,10.4038730469,1.92996154785,0.160055840444,0.293047120802,0.942379286369,0.0206588015951
2021/03/16/13:49:29.796281,669470,1615898969,798171043,mocap,-2.78281567383,10.4035615234,1.93006958008,0.15952451051,0.292298204919,0.942697241316,0.020871273631
2021/03/16/13:49:29.807933,669471,1615898969,808171034,mocap,-2.78302490234,10.4031904297,1.93015783691,0.159277885519,0.291664045376,0.942932514104,0.0209978896778
2021/03/16/13:49:29.815967,669472,1615898969,818171024,mocap,-2.78320996094,10.4027939453,1.9302064209,0.158581243643,0.290565088444,0.943386733012,0.0211041995998
2021/03/16/13:49:29.827557,669473,1615898969,828171015,mocap,-2.78337841797,10.4024306641,1.93031311035,0.158280728302,0.289644989938,0.943716096269,0.0212819417825
2021/03/16/13:49:29.835811,669474,1615898969,838171005,mocap,-2.78370263672,10.4021474609,1.93060534668,0.156650840135,0.288920978011,0.944185065414,0.0223547861749
2021/03/16/13:49:29.847826,669475,1615898969,848170996,mocap,-2.78384887695,10.4017900391,1.93065686035,0.156514242808,0.287864517524,0.944535495695,0.0221363004182
2021/03/16/13:49:29.856075,669476,1615898969,858170986,mocap,-2.78397021484,10.4014472656,1.93072546387,0.156075500767,0.286554921686,0.94501104356,0.0219283881471
2021/03/16/13:49:29.867511,669477,1615898969,868170977,mocap,-2.78406005859,10.4011474609,1.93078955078,0.155691476849,0.28541493524,0.945424869259,0.0216863051194
2021/03/16/13:49:29.876046,669478,1615898969,878171206,mocap,-2.78414428711,10.4008916016,1.93085754395,0.155686036343,0.284280823261,0.945780220655,0.0211200500064
2021/03/16/13:49:29.885935,669479,1615898969,888171196,mocap,-2.78416430664,10.4006777344,1.93089355469,0.155614207382,0.283385714742,0.946069359248,0.0207249777403
2021/03/16/13:49:29.897379,669480,1615898969,898171186,mocap,-2.78417016602,10.4005117187,1.9309432373,0.155619276387,0.282405127134,0.946370234517,0.0203313335087
2021/03/16/13:49:29.905915,669481,1615898969,908171177,mocap,-2.7841496582,10.4003701172,1.93098095703,0.155545851844,0.281567871357,0.946640453309,0.0199216457866
2021/03/16/13:49:29.917355,669482,1615898969,918171167,mocap,-2.78412939453,10.4002919922,1.93101599121,0.155815101991,0.280768759485,0.946842870073,0.0194714690504
2021/03/16/13:49:29.925552,669483,1615898969,928171158,mocap,-2.78408007813,10.4002607422,1.93103503418,0.155932062185,0.280192756474,0.947001996667,0.0190903633015
2021/03/16/13:49:29.936471,669484,1615898969,938171148,mocap,-2.78403417969,10.4002568359,1.93108984375,0.156114765606,0.27964084301,0.94714157236,0.0187622464964
2021/03/16/13:49:29.945953,669485,1615898969,948171139,mocap,-2.78399584961,10.4003027344,1.93114794922,0.156154736208,0.279164726253,0.947280073547,0.0185259392221
2021/03/16/13:49:29.957599,669486,1615898969,958171129,mocap,-2.78396118164,10.4003671875,1.93118139648,0.156470196024,0.278696587023,0.947371824938,0.018219046699
2021/03/16/13:49:29.965936,669487,1615898969,968171120,mocap,-2.78392333984,10.400453125,1.93123071289,0.156516101886,0.278435153209,0.947440605126,0.018245098318
2021/03/16/13:49:29.977229,669488,1615898969,978171110,mocap,-2.78388330078,10.4005703125,1.93130334473,0.1565651574,0.278250459771,0.947487095378,0.0182271736593
2021/03/16/13:49:29.987316,669489,1615898969,988171101,mocap,-2.7838605957,10.4006914063,1.93135095215,0.156517900168,0.277875673321,0.947605323838,0.0182044687379
2021/03/16/13:49:29.995591,669490,1615898969,998171091,mocap,-2.78384570312,10.4008164062,1.93141052246,0.156580707076,0.277692427989,0.947648095067,0.0182344707754
2021/03/16/13:49:30.006399,669491,1615898970,8171082,mocap,-2.78384008789,10.4009697266,1.93146630859,0.156475925966,0.277402473635,0.947747192673,0.0183957296038
2021/03/16/13:49:30.015723,669492,1615898970,18171072,mocap,-2.78384936523,10.4011328125,1.93155175781,0.156807126278,0.277373070911,0.947697342487,0.0185864745285
2021/03/16/13:49:30.026480,669493,1615898970,28171062,mocap,-2.78382128906,10.4013212891,1.93160803223,0.156746372221,0.277264352029,0.947733694625,0.0188651572919
2021/03/16/13:49:30.036145,669494,1615898970,38171053,mocap,-2.78378808594,10.4014619141,1.93159790039,0.156966029883,0.277279402592,0.947688647327,0.0190793999118
2021/03/16/13:49:30.045832,669495,1615898970,48171043,mocap,-2.78376586914,10.4016103516,1.93165002441,0.156941461619,0.277292466061,0.947681241441,0.0194557647881
2021/03/16/13:49:30.057158,669496,1615898970,58171034,mocap,-2.78372094727,10.4017373047,1.93165075684,0.157071303627,0.2772203458,0.947675580852,0.0197097699868
2021/03/16/13:49:30.065977,669497,1615898970,68171024,mocap,-2.78367700195,10.4018886719,1.93168920898,0.157236543404,0.277382883537,0.947590542156,0.0201882949961
2021/03/16/13:49:30.076322,669498,1615898970,78171015,mocap,-2.78361889648,10.4020087891,1.93172839355,0.157578691609,0.277256160004,0.94756767727,0.0203339195036
