time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/13:53:45.156190,687439,1615899225,158171177,mocap,-2.82076342773,10.4024072266,1.93280993652,0.145243347774,0.231338787488,0.961934835916,0.00825272082866
2021/03/16/13:53:45.166181,687440,1615899225,168171167,mocap,-2.82070239258,10.4023662109,1.93278112793,0.145267213985,0.231390012366,0.961919329479,0.00820366390364
2021/03/16/13:53:45.175922,687441,1615899225,178171158,mocap,-2.82064208984,10.4023378906,1.93279797363,0.145256654638,0.231367258301,0.961926114544,0.0082372804856
2021/03/16/13:53:45.187974,687442,1615899225,188171148,mocap,-2.82057226563,10.4023125,1.93279467773,0.14547125531,0.23131634556,0.961906828103,0.00813074950266
2021/03/16/13:53:45.195779,687443,1615899225,198171139,mocap,-2.82049487305,10.4022949219,1.93277099609,0.145593677524,0.231358548516,0.961878308247,0.00811339197295
2021/03/16/13:53:45.207285,687444,1615899225,208171129,mocap,-2.82043945313,10.4022626953,1.93277648926,0.145642992314,0.23145080372,0.961848555915,0.0081242386444
2021/03/16/13:53:45.215787,687445,1615899225,218171120,mocap,-2.8203737793,10.4022402344,1.93275085449,0.145816971195,0.231470856598,0.961817276631,0.00813520057285
2021/03/16/13:53:45.227480,687446,1615899225,228171110,mocap,-2.82031958008,10.4022304688,1.93272424316,0.145796356085,0.231528027941,0.961806354205,0.00816936763505
2021/03/16/13:53:45.235995,687447,1615899225,238171101,mocap,-2.82027148438,10.4022255859,1.93272045898,0.145664499935,0.23154068962,0.961821622328,0.00836230632998
2021/03/16/13:53:45.247325,687448,1615899225,248171091,mocap,-2.82021484375,10.4021982422,1.93273486328,0.145587919966,0.231623570327,0.961813279502,0.00836004332859
2021/03/16/13:53:45.255630,687449,1615899225,258171082,mocap,-2.82014282227,10.4021962891,1.93271203613,0.145857525864,0.231736107768,0.961745031387,0.00839411304305
2021/03/16/13:53:45.267200,687450,1615899225,268171072,mocap,-2.82006445313,10.4021748047,1.9326986084,0.145599844956,0.231735935855,0.961783168814,0.0085007621536
2021/03/16/13:53:45.275574,687451,1615899225,278171062,mocap,-2.8199987793,10.4021611328,1.9326932373,0.145765866834,0.231786721646,0.961746239908,0.00844918510263
