time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/15:18:36.201030,64102,1615904316,202450037,mocap,-2.82821875,10.3355498047,1.9283951416,0.146102635208,0.278390577413,0.947271634112,-0.061880142895
2021/03/16/15:18:36.211159,64103,1615904316,212450027,mocap,-2.8282355957,10.33559375,1.92839416504,0.146102065068,0.27828386134,0.947305902628,-0.0618369649995
2021/03/16/15:18:36.220659,64104,1615904316,222450256,mocap,-2.82824633789,10.3356220703,1.92838806152,0.145973459115,0.27814053899,0.947374176413,-0.0617393885858
2021/03/16/15:18:36.231183,64105,1615904316,232450247,mocap,-2.82826269531,10.3356630859,1.92841894531,0.146055669641,0.277963342,0.947415652635,-0.0617064639685
2021/03/16/15:18:36.240507,64106,1615904316,242450237,mocap,-2.82827294922,10.3356777344,1.92841101074,0.146129601752,0.277825922693,0.947447839889,-0.0616561868602
2021/03/16/15:18:36.252609,64107,1615904316,252450228,mocap,-2.82827758789,10.3357041016,1.92841162109,0.146106746192,0.277692089452,0.947491970745,-0.0616351249446
2021/03/16/15:18:36.260707,64108,1615904316,262450218,mocap,-2.82828320312,10.3357333984,1.92843566895,0.146075341075,0.277488720569,0.947566733728,-0.0614758678816
2021/03/16/15:18:36.272179,64109,1615904316,272450209,mocap,-2.8283059082,10.3357333984,1.92844104004,0.145792868082,0.277233274924,0.94769045555,-0.0613917946781
2021/03/16/15:18:36.280717,64110,1615904316,282450199,mocap,-2.82831933594,10.3357597656,1.92844763184,0.14614477739,0.277226939121,0.947638314463,-0.0613885899072
2021/03/16/15:18:36.291821,64111,1615904316,292450190,mocap,-2.82832470703,10.3357792969,1.9284519043,0.145866051041,0.277080763073,0.947736571918,-0.0611942837468
2021/03/16/15:18:36.300601,64112,1615904316,302450180,mocap,-2.82835424805,10.3358134766,1.9284855957,0.145912232297,0.276971532457,0.947771554711,-0.0610366885766
2021/03/16/15:18:36.312006,64113,1615904316,312450171,mocap,-2.82838378906,10.3358173828,1.92848779297,0.145828011145,0.276876496195,0.947817336981,-0.0609581117969
2021/03/16/15:18:36.320750,64114,1615904316,322450161,mocap,-2.82841430664,10.3358652344,1.9285078125,0.146009141863,0.276871210615,0.947799587181,-0.0608243442034
2021/03/16/15:18:36.332260,64115,1615904316,332450151,mocap,-2.82841674805,10.3358876953,1.92850170898,0.145754867828,0.276768208894,0.94788053552,-0.0606412890297
2021/03/16/15:18:36.340626,64116,1615904316,342450142,mocap,-2.82844238281,10.3359404297,1.92852319336,0.145819077612,0.276763997999,0.947878751241,-0.0605340279954
2021/03/16/15:18:36.351840,64117,1615904316,352450132,mocap,-2.82843505859,10.3359150391,1.92837487793,0.145507450382,0.277220347024,0.947817965843,-0.0601462658814
2021/03/16/15:18:36.360797,64118,1615904316,362450123,mocap,-2.82850268555,10.3360117187,1.92853222656,0.145786827016,0.276894406124,0.94787356345,-0.0600949453435
2021/03/16/15:18:36.371698,64119,1615904316,372450113,mocap,-2.82853149414,10.3360566406,1.92854614258,0.145768011861,0.276875763036,0.947888089193,-0.0599971387432
2021/03/16/15:18:36.380827,64120,1615904316,382450104,mocap,-2.82856567383,10.3361210938,1.92857751465,0.145671466939,0.276916790168,0.947907794485,-0.0597305291487
2021/03/16/15:18:36.390588,64121,1615904316,392450094,mocap,-2.82860400391,10.3361552734,1.92858007812,0.14563617773,0.276917521102,0.947926171049,-0.0595211307149
2021/03/16/15:18:36.400865,64122,1615904316,402450085,mocap,-2.82863427734,10.3361943359,1.92859753418,0.145664096161,0.276979680987,0.94791862554,-0.0592833531177
2021/03/16/15:18:36.412461,64123,1615904316,412450075,mocap,-2.82866821289,10.3362568359,1.92861816406,0.145525473004,0.27698761143,0.947955880908,-0.0589901786858
2021/03/16/15:18:36.420756,64124,1615904316,422450066,mocap,-2.82870336914,10.3362978516,1.9286081543,0.145779077047,0.27702017488,0.947918358302,-0.058813724713
2021/03/16/15:18:36.432673,64125,1615904316,432450056,mocap,-2.8287421875,10.3363339844,1.92860119629,0.145741354707,0.27709672195,0.947920700561,-0.0585081930147
2021/03/16/15:18:36.441077,64126,1615904316,442450047,mocap,-2.82879638672,10.3363847656,1.92865795898,0.145571822999,0.277226620884,0.947929818024,-0.0581660998985
2021/03/16/15:18:36.452594,64127,1615904316,452450037,mocap,-2.82884057617,10.3364169922,1.9286427002,0.145871133032,0.277234512798,0.947887837667,-0.0580627304114
2021/03/16/15:18:36.460590,64128,1615904316,462450027,mocap,-2.82888427734,10.3364404297,1.92861767578,0.14554815778,0.277146845143,0.947980567679,-0.0577771001094
2021/03/16/15:18:36.470549,64129,1615904316,472450256,mocap,-2.82893530273,10.3364697266,1.92862756348,0.145656007786,0.277205458395,0.94795412821,-0.0576577177819
2021/03/16/15:18:36.481521,64130,1615904316,482450247,mocap,-2.82898657227,10.3364970703,1.92866174316,0.145381520489,0.277304487262,0.947981220011,-0.057428494675
2021/03/16/15:18:36.490771,64131,1615904316,492450237,mocap,-2.82905615234,10.3365185547,1.92867871094,0.145498442951,0.277361777975,0.947951149401,-0.057352027732
2021/03/16/15:18:36.502463,64132,1615904316,502450228,mocap,-2.82911669922,10.3364960938,1.92865356445,0.145600078725,0.27733976433,0.947943918479,-0.0573202413146
