time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/15:43:54.460063,193429,1615905834,462450027,mocap,-2.80088427734,10.3729316406,1.93354711914,0.151334941768,0.236892849607,0.959655286186,-0.00642232589002
2021/03/16/15:43:54.471483,193430,1615905834,472450256,mocap,-2.80080615234,10.373140625,1.93358398438,0.151847398183,0.236988086285,0.959549754688,-0.00657953482766
2021/03/16/15:43:54.480082,193431,1615905834,482450247,mocap,-2.80063549805,10.3732636719,1.93340026855,0.150847107704,0.237052986665,0.959693879305,-0.00621914048471
2021/03/16/15:43:54.491729,193432,1615905834,492450237,mocap,-2.80053808594,10.3734443359,1.93339831543,0.150955044975,0.237134658783,0.95965645852,-0.00626282048276
2021/03/16/15:43:54.500194,193433,1615905834,502450228,mocap,-2.80046118164,10.3737060547,1.9335592041,0.152122369325,0.237376195286,0.95941011259,-0.0065998215381
2021/03/16/15:43:54.511302,193434,1615905834,512450218,mocap,-2.80034472656,10.3739208984,1.93353405762,0.152251149512,0.237589471041,0.959337344347,-0.00653284005576
2021/03/16/15:43:54.520025,193435,1615905834,522450209,mocap,-2.80023681641,10.3741220703,1.93352539063,0.152305444831,0.237791260527,0.959277611241,-0.00669617239477
2021/03/16/15:43:54.531229,193436,1615905834,532450199,mocap,-2.8001237793,10.3743212891,1.93351464844,0.152554270792,0.238131238452,0.959153372175,-0.00674629291272
2021/03/16/15:43:54.539977,193437,1615905834,542450190,mocap,-2.80003393555,10.3745507813,1.93356811523,0.152610847907,0.23819338287,0.959128499126,-0.00680941547603
2021/03/16/15:43:54.551140,193438,1615905834,552450180,mocap,-2.79993359375,10.37478125,1.93356530762,0.152760046058,0.238356700048,0.959063602446,-0.00688881977933
2021/03/16/15:43:54.560054,193439,1615905834,562450171,mocap,-2.79983422852,10.3750068359,1.93360437012,0.152696588007,0.23858628472,0.95901698195,-0.00683934581218
2021/03/16/15:43:54.571328,193440,1615905834,572450161,mocap,-2.79974291992,10.3751992187,1.93361706543,0.152502534545,0.238761981308,0.959004963267,-0.00672074823699
2021/03/16/15:43:54.580206,193441,1615905834,582450151,mocap,-2.79965063477,10.3754013672,1.93360913086,0.152647953306,0.238911634356,0.95894372547,-0.00683886698619
2021/03/16/15:43:54.592000,193442,1615905834,592450142,mocap,-2.79956005859,10.3755859375,1.93363476562,0.152541849901,0.239028601942,0.958931332926,-0.00685589227756
2021/03/16/15:43:54.600145,193443,1615905834,602450132,mocap,-2.79947216797,10.3757451172,1.9336472168,0.152531782355,0.238956413814,0.958950321813,-0.00694041317356
2021/03/16/15:43:54.612020,193444,1615905834,612450123,mocap,-2.7993737793,10.3759228516,1.93362133789,0.152498792335,0.23902717469,0.95893718347,-0.00704366069509
2021/03/16/15:43:54.620346,193445,1615905834,622450113,mocap,-2.79926513672,10.3760429687,1.93350073242,0.151526497946,0.238784032715,0.959153162442,-0.00686470882511
2021/03/16/15:43:54.631955,193446,1615905834,632450104,mocap,-2.79915771484,10.3762929688,1.9336776123,0.152025759267,0.23899998101,0.959019732163,-0.00695222950013
2021/03/16/15:43:54.640320,193447,1615905834,642450094,mocap,-2.7990559082,10.3764150391,1.93352319336,0.151346266448,0.238839389823,0.959168185393,-0.00681518675238
2021/03/16/15:43:54.651353,193448,1615905834,652450085,mocap,-2.79893725586,10.3765957031,1.93351733398,0.151223644265,0.238784397578,0.959200902606,-0.00685950568734
2021/03/16/15:43:54.660213,193449,1615905834,662450075,mocap,-2.79888012695,10.3768603516,1.9336739502,0.152066630947,0.238993396317,0.959014200652,-0.0070468940685
2021/03/16/15:43:54.672530,193450,1615905834,672450066,mocap,-2.79874536133,10.3769785156,1.93348498535,0.151046199135,0.238875422207,0.959206308762,-0.00684380786102
2021/03/16/15:43:54.680281,193451,1615905834,682450056,mocap,-2.79867114258,10.3771679687,1.93349609375,0.151264686631,0.238870163827,0.959172341131,-0.0069618525277
2021/03/16/15:43:54.691830,193452,1615905834,692450047,mocap,-2.79860595703,10.3774169922,1.9336595459,0.152286157719,0.239108663287,0.958950267426,-0.00709595833034
2021/03/16/15:43:54.699997,193453,1615905834,702450037,mocap,-2.79850878906,10.3776123047,1.93362768555,0.15236368412,0.23911542696,0.958935730549,-0.00716894701925
2021/03/16/15:43:54.711696,193454,1615905834,712450027,mocap,-2.79836254883,10.3777558594,1.93345385742,0.151937886992,0.239088418492,0.959010743441,-0.00707205518892
2021/03/16/15:43:54.720020,193455,1615905834,722450256,mocap,-2.79828295898,10.3780205078,1.9336081543,0.152598020702,0.239232203289,0.958869056994,-0.00720541849898
2021/03/16/15:43:54.731865,193456,1615905834,732450247,mocap,-2.79817944336,10.3782382813,1.93359020996,0.152533069548,0.239251091674,0.958875164332,-0.00714068145258
2021/03/16/15:43:54.739926,193457,1615905834,742450237,mocap,-2.79804785156,10.3783916016,1.93341870117,0.151937986026,0.239280814677,0.958962993811,-0.00703756344781
2021/03/16/15:43:54.751709,193458,1615905834,752450228,mocap,-2.79793359375,10.3786123047,1.93342248535,0.152113490723,0.239353430664,0.958916943388,-0.00705117512554
2021/03/16/15:43:54.760523,193459,1615905834,762450218,mocap,-2.79784692383,10.3788876953,1.93360119629,0.15300692644,0.2395878944,0.958713866265,-0.00736587981632
2021/03/16/15:43:54.770754,193460,1615905834,772450209,mocap,-2.79771411133,10.3790478516,1.9334654541,0.152218243193,0.23948760254,0.958866624926,-0.00707728683475
