time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/14:06:44.976648,751562,1615900004,978171110,mocap,-2.74397973633,10.4167900391,1.93600036621,0.162400080917,0.193690293607,0.966678997522,-0.0405216078026
2021/03/16/14:06:44.984980,751563,1615900004,988171101,mocap,-2.74405297852,10.4168632813,1.93593212891,0.162133845822,0.193906139585,0.966681147883,-0.0405041712372
2021/03/16/14:06:44.997077,751564,1615900004,998171091,mocap,-2.74415185547,10.4169433594,1.93594226074,0.161672754477,0.194162991411,0.966709795797,-0.0404330388586
2021/03/16/14:06:45.005158,751565,1615900005,8171082,mocap,-2.7442019043,10.4170615234,1.93587744141,0.161633584323,0.194374097306,0.966668785164,-0.040555571621
2021/03/16/14:06:45.016899,751566,1615900005,18171072,mocap,-2.7442199707,10.4170449219,1.93562475586,0.160433043993,0.194321017651,0.966886173324,-0.0403943898468
2021/03/16/14:06:45.025242,751567,1615900005,28171062,mocap,-2.74432739258,10.4172490234,1.93583129883,0.161201378112,0.194998650057,0.966618692952,-0.0404715312368
2021/03/16/14:06:45.037064,751568,1615900005,38171053,mocap,-2.74436791992,10.4173857422,1.9357947998,0.161003631251,0.195343134391,0.966580800273,-0.0405024452984
2021/03/16/14:06:45.045260,751569,1615900005,48171043,mocap,-2.74440405273,10.4174970703,1.93579016113,0.16064896645,0.195654016073,0.966584022287,-0.0403329890749
2021/03/16/14:06:45.056949,751570,1615900005,58171034,mocap,-2.74443823242,10.4176396484,1.93579284668,0.160892931868,0.196258651726,0.966419755229,-0.0403592828837
2021/03/16/14:06:45.065051,751571,1615900005,68171024,mocap,-2.7444519043,10.4177734375,1.9357590332,0.160849358806,0.196585408555,0.966360182346,-0.0403691107633
2021/03/16/14:06:45.077129,751572,1615900005,78171015,mocap,-2.7444609375,10.4179091797,1.93570410156,0.160658658599,0.197061622851,0.966297637276,-0.0403036600408
2021/03/16/14:06:45.084968,751573,1615900005,88171005,mocap,-2.74448803711,10.4180693359,1.9357565918,0.160493746904,0.197652734866,0.966210227767,-0.0401615468578
2021/03/16/14:06:45.096937,751574,1615900005,98170996,mocap,-2.74448217773,10.4181972656,1.93566650391,0.160413341685,0.198020326307,0.966147950608,-0.04017014927
2021/03/16/14:06:45.105034,751575,1615900005,108170986,mocap,-2.74449389648,10.4183466797,1.93563830566,0.160321363245,0.198485563561,0.966074255411,-0.0400133681032
2021/03/16/14:06:45.116687,751576,1615900005,118170977,mocap,-2.74453491211,10.4185068359,1.93571765137,0.160551197948,0.199054534682,0.96591947411,-0.0400021173265
2021/03/16/14:06:45.125381,751577,1615900005,128171206,mocap,-2.74446191406,10.4185634766,1.93546130371,0.159820151193,0.199240766684,0.966011660977,-0.0397755680306
