time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/03/16/15:46:26.459948,206890,1615905986,462450027,mocap,-2.80114233398,10.4117919922,1.93127233887,0.127008052406,0.272401994064,0.953647642205,0.0149095478783
2021/03/16/15:46:26.471136,206891,1615905986,472450256,mocap,-2.80114599609,10.4116757813,1.93126806641,0.127165264763,0.272421645092,0.953620039471,0.0149753601125
2021/03/16/15:46:26.481223,206892,1615905986,482450247,mocap,-2.80114916992,10.4115517578,1.93126025391,0.127114715096,0.272424975733,0.953622383352,0.0151933166213
2021/03/16/15:46:26.491111,206893,1615905986,492450237,mocap,-2.80111499023,10.4113632813,1.93109094238,0.127936874295,0.271582766553,0.953761443286,0.0146309592264
2021/03/16/15:46:26.500094,206894,1615905986,502450228,mocap,-2.80111621094,10.4112763672,1.93125646973,0.127080403785,0.272177685791,0.953695236099,0.0153389389174
2021/03/16/15:46:26.512037,206895,1615905986,512450218,mocap,-2.80108935547,10.4111591797,1.93122839355,0.127138698674,0.272171944192,0.953686392502,0.0155064315763
2021/03/16/15:46:26.520317,206896,1615905986,522450209,mocap,-2.80106054688,10.4110166016,1.93120507813,0.126856394588,0.27201378538,0.953766114722,0.0156891167578
2021/03/16/15:46:26.530843,206897,1615905986,532450199,mocap,-2.80100512695,10.4108134766,1.93103051758,0.127850648289,0.271482275519,0.953790315211,0.0153499669132
2021/03/16/15:46:26.540111,206898,1615905986,542450190,mocap,-2.80106811523,10.4107646484,1.93181030273,0.122388588871,0.27065331677,0.954697687248,0.0178923205788
2021/03/16/15:46:26.551158,206899,1615905986,552450180,mocap,-2.80104394531,10.4106425781,1.93182580566,0.122632258386,0.270521571036,0.954702962822,0.0179351305041
2021/03/16/15:46:26.560061,206900,1615905986,562450171,mocap,-2.80098608398,10.410484375,1.93182666016,0.122615370565,0.270433708671,0.954726780584,0.0181066407631
2021/03/16/15:46:26.573965,206901,1615905986,572450161,mocap,-2.80079296875,10.4101015625,1.9308326416,0.130439450505,0.27325685875,0.95292336254,0.0159158734916
2021/03/16/15:46:26.580204,206902,1615905986,582450151,mocap,-2.8007199707,10.4098701172,1.93068713379,0.131287480984,0.272691128686,0.952976598287,0.0154517353155
2021/03/16/15:46:26.591623,206903,1615905986,592450142,mocap,-2.80067260742,10.4097226563,1.93071728516,0.130748846466,0.272553499199,0.953082490192,0.015908462234
2021/03/16/15:46:26.599914,206904,1615905986,602450132,mocap,-2.80062353516,10.4095400391,1.93071765137,0.131103696304,0.272446924435,0.953065237142,0.0158477004874
2021/03/16/15:46:26.610158,206905,1615905986,612450123,mocap,-2.80058300781,10.4093632813,1.93071313477,0.130962272464,0.272468747178,0.953073781623,0.0161255391202
2021/03/16/15:46:26.620915,206906,1615905986,622450113,mocap,-2.80054614258,10.4091855469,1.93071765137,0.130951047796,0.272260389516,0.95313368465,0.0161949288465
2021/03/16/15:46:26.629803,206907,1615905986,632450104,mocap,-2.80048632812,10.4090009766,1.93070959473,0.131049835066,0.272032077328,0.953184391735,0.0162480159289
2021/03/16/15:46:26.640816,206908,1615905986,642450094,mocap,-2.80048510742,10.4089179687,1.93101489258,0.128195960743,0.271377269325,0.953742171414,0.0172060052654
2021/03/16/15:46:26.651412,206909,1615905986,652450085,mocap,-2.80041601563,10.4087177734,1.93097399902,0.128399545706,0.271162552364,0.953775465339,0.0172274687127
2021/03/16/15:46:26.660175,206910,1615905986,662450075,mocap,-2.80037109375,10.4085693359,1.93098486328,0.128249466457,0.270852384449,0.953882572964,0.0172946354309
2021/03/16/15:46:26.670694,206911,1615905986,672450066,mocap,-2.80025341797,10.4083125,1.93065478516,0.131101142453,0.271353965641,0.953365655128,0.0165360521681
